numero,alcaldia,nombre mercado,numero oficial,numero de locales,latitud,longitud,coord
295.0,VENUSTIANO CARRANZA,MERCED BANQUETON,109,449.0,19.426199320599999,-99.123028400099997,"19.4261993206,-99.1230284001"
244.0,TLAHUAC,LA ESTACION,411,70.0,19.309710086199999,-99.043549083399995,"19.3097100862,-99.0435490834"
165.0,GUSTAVO A. MADERO,24 DE SEPTIEMBRE,365,78.0,19.474658999999999,-99.062943000000004,"19.474659,-99.062943"
300.0,VENUSTIANO CARRANZA,MERCED PASO A DESNIVEL,103,77.0,19.425588999999999,-99.123394000000005,"19.425589,-99.123394"
301.0,VENUSTIANO CARRANZA,MERCED PASO A DESNIVEL,241,0.0,19.423711999999998,-99.123458999999997,"19.423712,-99.123459"
0.0,GUSTAVO A. MADERO,PROVIDENCIA,136,193.0,19.483972136900000,-99.070810985999998,"19.4839721369,-99.070810986"
20.0,AZCAPOTZALCO,CLAVERIA,46,98.0,19.465002914700001,-99.181151999899996,"19.4650029147,-99.1811519999"
17.0,AZCAPOTZALCO,ARENAL,125,198.0,19.466270914700001,-99.150715000000005,"19.4662709147,-99.150715"
29.0,AZCAPOTZALCO,PROHOGAR,126,641.0,19.475847914700001,-99.153558999900000,"19.4758479147,-99.1535589999"
34.0,AZCAPOTZALCO,TLATILCO,194,155.0,19.462053914799998,-99.162594999899994,"19.4620539148,-99.1625949999"
32.0,AZCAPOTZALCO,SAN JUAN TLIHUACA,224,168.0,19.492958914599999,-99.203380999900006,"19.4929589146,-99.2033809999"
24.0,AZCAPOTZALCO,LAMINADORES,250,148.0,19.480328914699999,-99.155868999899994,"19.4803289147,-99.1558689999"
27.0,AZCAPOTZALCO,PANTACO,268,41.0,19.474432914699999,-99.171228999899995,"19.4744329147,-99.1712289999"
67.0,COYOACAN,PRADO CHURUBUSCO,130,117.0,19.354097915099999,-99.125974999999997,"19.3540979151,-99.125975"
57.0,COYOACAN,CHURUBUSCO,171,157.0,19.349776915100001,-99.147061999900004,"19.3497769151,-99.1470619999"
54.0,COYOACAN,AVANTE,180,101.0,19.326162915200001,-99.134932999900002,"19.3261629152,-99.1349329999"
68.0,COYOACAN,RUIZ CORTINEZ (LA CRUZ),199,95.0,19.318723915200000,-99.151345999900002,"19.3187239152,-99.1513459999"
71.0,COYOACAN,SANTO DOMINGO LAS ROSAS,301,105.0,19.330956915200002,-99.162929999900001,"19.3309569152,-99.1629299999"
56.0,COYOACAN,CARMEN SERDAN,303,116.0,19.320346915199998,-99.106058999900000,"19.3203469152,-99.1060589999"
63.0,COYOACAN,EMILIANO ZAPATA,319,47.0,19.316412915200001,-99.109774000000002,"19.3164129152,-99.109774"
72.0,COYOACAN,SANTO DOMINGO LOS REYES,340,35.0,19.319692915200001,-99.168771999900002,"19.3196929152,-99.1687719999"
75.0,CUAJIMALPA,CUAJIMALPA,37,128.0,19.355573915000001,-99.299317999799996,"19.355573915,-99.2993179998"
168.0,GUSTAVO A. MADERO,VILLA ZONA,34,938.0,19.483863914600001,-99.115240999999997,"19.4838639146,-99.115241"
147.0,GUSTAVO A. MADERO,RIO BLANCO,53,454.0,19.461599914800001,-99.112600999899996,"19.4615999148,-99.1126009999"
129.0,GUSTAVO A. MADERO,ESTRELLA,54,124.0,19.475637914699998,-99.115836000000002,"19.4756379147,-99.115836"
163.0,GUSTAVO A. MADERO,VASCO DE QUIROGA,70,212.0,19.494563914699999,-99.094933999999995,"19.4945639147,-99.094934"
167.0,GUSTAVO A. MADERO,VILLA COMIDAS (VIEJO),81,209.0,19.484754914700002,-99.113189000000006,"19.4847549147,-99.113189"
151.0,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD I,121,193.0,19.459705914800001,-99.091750000000005,"19.4597059148,-99.09175"
166.0,GUSTAVO A. MADERO,VICENTE GUERRERO (NUEVA ATZACOALCO),123,386.0,19.501542914600002,-99.085438999999994,"19.5015429146,-99.085439"
139.0,GUSTAVO A. MADERO,MAXIMINO AVILA CAMACHO,127,130.0,19.475940914700001,-99.137876000000006,"19.4759409147,-99.137876"
149.0,GUSTAVO A. MADERO,SAN BARTOLO ATEPEHUACAN,188,159.0,19.491785914600001,-99.140613999899998,"19.4917859146,-99.1406139999"
158.0,GUSTAVO A. MADERO,SAN PEDRO ZACATENCO,189,111.0,19.505627914600002,-99.125051999899995,"19.5056279146,-99.1250519999"
137.0,GUSTAVO A. MADERO,MAGDALENA DE LAS SALINAS (NUEVA VALLEJO),193,86.0,19.485122914600002,-99.148716999900003,"19.4851229146,-99.1487169999"
152.0,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD 2,218,108.0,19.453961914800001,-99.085612999899993,"19.4539619148,-99.0856129999"
159.0,GUSTAVO A. MADERO,SANTA ISABEL TOLA,221,67.0,19.498812914599998,-99.116792000000004,"19.4988129146,-99.116792"
154.0,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD 4 Y 5,336,169.0,19.453577914699999,-99.065061999999998,"19.4535779147,-99.065062"
142.0,GUSTAVO A. MADERO,PRIMERO DE SEPTIEMBRE,354,244.0,19.466490914800001,-99.134611000000007,"19.4664909148,-99.134611"
118.0,GUSTAVO A. MADERO,ALFREDO ROBLES DOMINGUEZ,366,61.0,19.471222914700000,-99.135694999999998,"19.4712229147,-99.135695"
169.0,IZTACALCO,AGRICOLA ORIENTAL,87,344.0,19.395236915000002,-99.075277999999997,"19.395236915,-99.075278"
183.0,IZTACALCO,TLACOTAL,139,273.0,19.395474915000001,-99.102746999900006,"19.395474915,-99.1027469999"
184.0,IZTACALCO,VEINTICUATRO DE DICIEMBRE,198,203.0,19.402727914900002,-99.058516999999995,"19.4027279149,-99.058517"
182.0,IZTACALCO,SANTA ANITA,202,117.0,19.398507914900001,-99.129394999900001,"19.3985079149,-99.1293949999"
181.0,IZTACALCO,SAN MIGUEL IZTACALCO,345,90.0,19.393844914999999,-99.114336999900004,"19.393844915,-99.1143369999"
175.0,IZTACALCO,JOSE LOPEZ PORTILLO,352,352.0,19.411724914899999,-99.068347999899999,"19.4117249149,-99.0683479999"
201.0,IZTAPALAPA,SANTA MARIA AZTAHUACAN,63,106.0,19.349717915100001,-99.023268000000002,"19.3497179151,-99.023268"
187.0,IZTAPALAPA,ESCUADRON 201,131,306.0,19.362467915100002,-99.111989999900004,"19.3624679151,-99.1119899999"
198.0,IZTAPALAPA,SAN LORENZO TEZONCO,226,196.0,19.310631915199998,-99.071950000000001,"19.3106319152,-99.07195"
185.0,IZTAPALAPA,CONSTITUYENTES DE 1917,243,184.0,19.348715915100001,-99.059417999900006,"19.3487159151,-99.0594179999"
188.0,IZTAPALAPA,FRANCISCO VILLA,291,104.0,19.337332915200001,-99.058543999999998,"19.3373329152,-99.058544"
191.0,IZTAPALAPA,JACARANDAS,294,86.0,19.347084915100002,-99.051141999899997,"19.3470849151,-99.0511419999"
209.0,MAGDALENA CONTRERAS,TURISTICO MAGDALENA,170,39.0,19.302526915300000,-99.246078999900007,"19.3025269153,-99.2460789999"
206.0,MAGDALENA CONTRERAS,CONTRERAS LA CRUZ,384,96.0,19.305480915200000,-99.234565999899999,"19.3054809152,-99.2345659999"
229.0,MILPA ALTA,BENITO JUAREZ (MILPA ALTA),40,207.0,19.191482915600002,-99.021355000000000,"19.1914829156,-99.021355"
14.0,ALVARO OBREGON,SANTA MARIA NONOALCO,31,106.0,19.379711915000001,-99.193004999899998,"19.379711915,-99.1930049999"
