Alcaldía,Polígono ,Colonia ,Año,Mes,Ingreso por Estacionamiento en Vía Pública ,Contraprestación 30%                                (F)             ,Ingreso por Retiro de Candado Inmovilizador,70% Inmovilizador           (H),Pago al GCDMX       (F-H)
Cuauhtémoc,Roma - Hipódromo,Hipódromo II,2020,Octubre,,0.0,,0.0,0.0
Benito Juárez,Benito Juárez Sur,Recuperación de LDC por retiro de candado inmovilizador,2020,Octubre,,0.0,,0.0,0.0
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2020,Noviembre,,0.0,,0.0,0.0
Miguel Hidalgo,Polanco -Anzures,Los Morales,2020,Noviembre,,0.0,,0.0,0.0
Miguel Hidalgo,Polanco -Anzures,Rincón del Bosque,2020,Noviembre,,0.0,,0.0,0.0
Cuauhtémoc,Roma - Hipódromo,Roma II,2020,Noviembre,,0.0,,0.0,0.0
Benito Juárez,Benito Juárez Sur,Crédito Constructor,2020,Noviembre,,0.0,,0.0,0.0
Benito Juárez,Benito Juárez Sur,Insurgentes Mixcoac,2020,Noviembre,,0.0,,0.0,0.0
Benito Juárez,Benito Juárez Norte,Ciudad de los Deportes,2020,Noviembre,,0.0,,0.0,0.0
Benito Juárez,Benito Juárez Norte,Ampliación Napoles,2020,Noviembre,,0.0,,0.0,0.0
Miguel Hidalgo,Polanco -Anzures,Chapultepec Morales,2020,Diciembre,,0.0,,0.0,0.0
Miguel Hidalgo,Polanco -Anzures,Polanco Chapultepec,2020,Diciembre,,0.0,,0.0,0.0
Miguel Hidalgo,Polanco -Anzures,Del Bosque,2020,Diciembre,,0.0,,0.0,0.0
Miguel Hidalgo,Polanco -Anzures,Los Morales,2020,Diciembre,,0.0,,0.0,0.0
Miguel Hidalgo,Polanco -Anzures,Rincón del Bosque,2020,Diciembre,,0.0,,0.0,0.0
Miguel Hidalgo,Polanco -Anzures,Anzures,2020,Diciembre,,0.0,,0.0,0.0
Cuauhtémoc,Roma - Hipódromo,Roma I,2020,Diciembre,,0.0,,0.0,0.0
Benito Juárez,Benito Juárez Norte,Ampliación Napoles,2020,Diciembre,,0.0,,0.0,0.0
Benito Juárez,Benito Juárez Norte,Napoles,2020,Diciembre,,0.0,,0.0,0.0
Miguel Hidalgo,Polanco,Polanco Chapultepec,2012,Marzo,1306521.0,391956.3,0.0,0.0,391956.3
Miguel Hidalgo,Polanco,Bosques de Chapultepec,2012,Abril,451342.0,135402.6,0.0,0.0,135402.6
Miguel Hidalgo,Polanco,Chapultepec Morales,2012,Abril,992123.0,297636.9,0.0,0.0,297636.9
Miguel Hidalgo,Polanco,Del Bosque,2012,Abril,20887.0,6266.1,0.0,0.0,6266.1
Miguel Hidalgo,Polanco,Rincón del Bosque,2012,Abril,89188.0,26756.4,0.0,0.0,26756.4
Miguel Hidalgo,Polanco,Morales Secc. Alameda,2012,Abril,100905.0,30271.5,0.0,0.0,30271.5
Miguel Hidalgo,Polanco,Rincón del Bosque,2012,Mayo,113563.0,34068.9,0.0,0.0,34068.9
Miguel Hidalgo,Polanco,Chapultepec Morales,2012,Junio,1340999.0,402299.7,0.0,0.0,402299.7
Miguel Hidalgo,Polanco,Polanco Chapultepec,2012,Junio,1327136.0,398140.8,0.0,0.0,398140.8
Miguel Hidalgo,Polanco,Polanco Reforma,2012,Junio,1142956.0,342886.8,0.0,0.0,342886.8
Miguel Hidalgo,Polanco,Del Bosque,2012,Junio,51598.0,15479.4,0.0,0.0,15479.4
Miguel Hidalgo,Polanco,Morales Secc. Palmas,2012,Julio,300220.0,90066.0,0.0,0.0,90066.0
Miguel Hidalgo,Polanco,Polanco Chapultepec,2012,Agosto,1436353.0,430905.9,0.0,0.0,430905.9
Miguel Hidalgo,Polanco,Palmitas,2012,Agosto,259697.0,77909.1,0.0,0.0,77909.1
Miguel Hidalgo,Polanco,Morales Secc. Palmas,2012,Agosto,325722.0,97716.6,0.0,0.0,97716.6
Miguel Hidalgo,Lomas Chapultepec,Lomas de Chapultepec,2012,Agosto,642226.0,192667.8,0.0,0.0,192667.8
Miguel Hidalgo,Polanco,Bosques de Chapultepec,2012,Septiembre,560564.0,168169.2,0.0,0.0,168169.2
Miguel Hidalgo,Polanco,Chapultepec Morales,2012,Septiembre,1297176.0,389152.8,0.0,0.0,389152.8
Miguel Hidalgo,Polanco,Palmitas,2012,Septiembre,244346.0,73303.8,0.0,0.0,73303.8
Miguel Hidalgo,Polanco,Los Morales,2012,Septiembre,458511.0,137553.3,0.0,0.0,137553.3
Miguel Hidalgo,Lomas Chapultepec,Lomas de Chapultepec,2012,Septiembre,744720.0,223416.0,0.0,0.0,223416.0
Miguel Hidalgo,Polanco,Del Bosque,2012,Noviembre,58278.0,17483.4,0.0,0.0,17483.4
Miguel Hidalgo,Polanco,Los Morales,2012,Noviembre,472737.0,141821.1,0.0,0.0,141821.1
Miguel Hidalgo,Polanco,Morales Secc. Palmas,2012,Noviembre,334769.0,100430.7,0.0,0.0,100430.7
Miguel Hidalgo,Polanco,Del Bosque,2012,Diciembre,60289.0,18086.7,0.0,0.0,18086.7
Miguel Hidalgo,Lomas Chapultepec,Lomas Virreyes,2012,Diciembre,268134.0,80440.2,0.0,0.0,80440.2
Miguel Hidalgo,Polanco -Anzures,Bosques de Chapultepec,2013,Enero,643785.0,193135.5,0.0,0.0,193135.5
Miguel Hidalgo,Polanco -Anzures,Polanco Chapultepec,2013,Enero,1403850.0,421155.0,0.0,0.0,421155.0
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2013,Enero,1291198.0,387359.4,0.0,0.0,387359.4
Miguel Hidalgo,Polanco -Anzures,Palmitas,2013,Enero,292030.0,87609.0,0.0,0.0,87609.0
Miguel Hidalgo,Polanco -Anzures,Los Morales,2013,Enero,539972.0,161991.6,0.0,0.0,161991.6
Miguel Hidalgo,Polanco -Anzures,Rincón del Bosque,2013,Enero,118645.0,35593.5,0.0,0.0,35593.5
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Alameda,2013,Enero,230409.0,69122.7,0.0,0.0,69122.7
Miguel Hidalgo,Lomas Chapultepec,Lomas de Chapultepec,2013,Enero,1579647.0,473894.1,0.0,0.0,473894.1
Miguel Hidalgo,Polanco -Anzures,Bosques de Chapultepec,2013,Febrero,605501.0,181650.3,0.0,0.0,181650.3
Miguel Hidalgo,Polanco -Anzures,Palmitas,2013,Febrero,283788.0,85136.4,0.0,0.0,85136.4
Miguel Hidalgo,Polanco -Anzures,Del Bosque,2013,Febrero,61578.0,18473.4,0.0,0.0,18473.4
Miguel Hidalgo,Polanco -Anzures,Los Morales,2013,Febrero,482475.0,144742.5,0.0,0.0,144742.5
Miguel Hidalgo,Polanco -Anzures,Rincón del Bosque,2013,Febrero,108742.0,32622.6,0.0,0.0,32622.6
Miguel Hidalgo,Polanco -Anzures,Anzures,2013,Febrero,67458.0,20237.4,0.0,0.0,20237.4
Miguel Hidalgo,Lomas Chapultepec,Lomas Virreyes,2013,Febrero,288184.0,86455.2,0.0,0.0,86455.2
Miguel Hidalgo,Polanco -Anzures,Bosques de Chapultepec,2013,Marzo,591738.0,177521.4,0.0,0.0,177521.4
Miguel Hidalgo,Polanco -Anzures,Polanco Chapultepec,2013,Marzo,1208459.0,362537.7,0.0,0.0,362537.7
Miguel Hidalgo,Polanco -Anzures,Palmitas,2013,Marzo,269964.0,80989.2,0.0,0.0,80989.2
Cuauhtémoc,Roma - Hipódromo,Roma I,2013,Marzo,199764.0,59929.0,0.0,0.0,59929.0
Miguel Hidalgo,Polanco -Anzures,Chapultepec Morales,2013,Mayo,1675691.0,502707.3,0.0,0.0,502707.3
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Palmas,2013,Mayo,461884.0,138565.2,0.0,0.0,138565.2
Miguel Hidalgo,Lomas Chapultepec,Lomas de Chapultepec,2013,Mayo,2067858.0,620357.4,0.0,0.0,620357.4
Miguel Hidalgo,Lomas Chapultepec,Lomas Virreyes,2013,Mayo,344607.0,103382.1,0.0,0.0,103382.1
Miguel Hidalgo,Polanco -Anzures,Bosques de Chapultepec,2013,Junio,737725.0,221317.5,0.0,0.0,221317.5
Miguel Hidalgo,Polanco -Anzures,Palmitas,2013,Junio,348033.0,104409.9,0.0,0.0,104409.9
Miguel Hidalgo,Polanco -Anzures,Rincón del Bosque,2013,Junio,110669.0,33200.7,0.0,0.0,33200.7
Miguel Hidalgo,Polanco -Anzures,Anzures,2013,Junio,1127539.0,338261.7,0.0,0.0,338261.7
Miguel Hidalgo,Lomas Chapultepec,Lomas de Chapultepec,2013,Junio,1905047.0,571514.1,0.0,0.0,571514.1
Miguel Hidalgo,Polanco -Anzures,Chapultepec Morales,2013,Julio,1770339.0,531101.7,0.0,0.0,531101.7
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2013,Julio,1526881.0,458064.3,0.0,0.0,458064.3
Cuauhtémoc,Roma Hipódromo,Hipódromo II,2013,Octubre,1192442.0,357732.6,0.0,0.0,357732.6
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2013,Noviembre,1511963.0,453588.9,0.0,0.0,453588.9
Miguel Hidalgo,Polanco -Anzures,Palmitas,2013,Noviembre,373337.0,112001.1,0.0,0.0,112001.1
Miguel Hidalgo,Polanco -Anzures,Los Morales,2013,Noviembre,575942.0,172782.6,0.0,0.0,172782.6
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Palmas,2013,Noviembre,468420.0,140526.0,0.0,0.0,140526.0
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Palmas,2014,Febrero,435749.0,130724.7,0.0,0.0,130724.7
Miguel Hidalgo,Polanco -Anzures,Anzures,2014,Febrero,1217616.0,365284.8,0.0,0.0,365284.8
Miguel Hidalgo,Polanco -Anzures,Bosques de Chapultepec,2014,Marzo,745025.0,223507.5,0.0,0.0,223507.5
Miguel Hidalgo,Polanco -Anzures,Polanco Chapultepec,2014,Marzo,2125529.0,637658.7,0.0,0.0,637658.7
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2014,Marzo,1575735.0,472720.5,0.0,0.0,472720.5
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Palmas,2014,Abril,426728.0,128018.4,0.0,0.0,128018.4
Miguel Hidalgo,Polanco -Anzures,Anzures,2014,Abril,1312036.0,393610.8,0.0,0.0,393610.8
Miguel Hidalgo,Polanco -Anzures,Polanco Chapultepec,2014,Mayo,2137591.0,641277.3,0.0,0.0,641277.3
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2014,Mayo,1556221.0,466866.3,0.0,0.0,466866.3
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Alameda,2014,Mayo,235962.0,70788.6,0.0,0.0,70788.6
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Palmas,2014,Mayo,461380.0,138414.0,0.0,0.0,138414.0
Cuauhtémoc,Roma Hipódromo,Hipódromo II,2014,Mayo,1177155.0,353146.5,0.0,0.0,353146.5
Miguel Hidalgo,Polanco -Anzures,Chapultepec Morales,2014,Junio,1733026.0,519907.8,0.0,0.0,519907.8
Miguel Hidalgo,Polanco -Anzures,Palmitas,2014,Junio,496062.0,148818.6,0.0,0.0,148818.6
Miguel Hidalgo,Polanco -Anzures,Anzures,2014,Agosto,1336300.0,400890.0,0.0,0.0,400890.0
Cuauhtémoc,Roma Hipódromo,Hipódromo I,2014,Agosto,1874319.0,562295.7,0.0,0.0,562295.7
Miguel Hidalgo,Polanco -Anzures,Bosques de Chapultepec,2014,Septiembre,740095.0,222028.5,0.0,0.0,222028.5
Miguel Hidalgo,Polanco -Anzures,Polanco Chapultepec,2014,Septiembre,1977405.0,593221.5,0.0,0.0,593221.5
