Red Manual
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.cdmx.gob.mx
timeStamp:,1989/01/08 al 2017/10/28		
average_interval: 001d
Date,cve_station,cve_parameter,value,unit
13/06/1989,XAL,PbPST,1.68,2
13/06/1989,MCM,PbPST,0.9,2
13/06/1989,FAN,PbPST,0.52,2
13/06/1989,TEC,PbPST,0.72,2
13/06/1989,CFE,PbPST,0.72,2
19/06/1989,CES,PbPST,0.7,2
19/06/1989,MER,PbPST,0.6,2
19/06/1989,PED,PbPST,0.42,2
19/06/1989,TLA,PbPST,0.9,2
19/06/1989,XAL,PbPST,0.99,2
19/06/1989,MCM,PbPST,0.37,2
19/06/1989,FAN,PbPST,0.27,2
19/06/1989,TEC,PbPST,0.43,2
19/06/1989,CFE,PbPST,0.35,2
01/07/1989,CES,PbPST,1.23,2
01/07/1989,MER,PbPST,0.95,2
01/07/1989,PED,PbPST,0.77,2
01/07/1989,XAL,PbPST,0.81,2
01/07/1989,MCM,PbPST,1.05,2
01/07/1989,FAN,PbPST,0.8,2
01/07/1989,TEC,PbPST,1.1,2
01/07/1989,CFE,PbPST,0.99,2
07/07/1989,CES,PbPST,1.27,2
07/07/1989,MER,PbPST,1.2,2
07/07/1989,PED,PbPST,0.65,2
07/07/1989,MCM,PbPST,0.65,2
07/07/1989,FAN,PbPST,0.85,2
19/07/1989,CES,PbPST,1.26,2
19/07/1989,MER,PbPST,1.18,2
19/07/1989,PED,PbPST,1.1,2
19/07/1989,TLA,PbPST,1.2,2
19/07/1989,XAL,PbPST,1.92,2
19/07/1989,MCM,PbPST,1.1,2
19/07/1989,FAN,PbPST,0.93,2
19/07/1989,TEC,PbPST,1.04,2
19/07/1989,CFE,PbPST,0.86,2
25/07/1989,CES,PbPST,1.03,2
25/07/1989,MER,PbPST,1.46,2
25/07/1989,PED,PbPST,1,2
25/07/1989,TLA,PbPST,1.9,2
25/07/1989,XAL,PbPST,2.32,2
25/07/1989,MCM,PbPST,1.12,2
25/07/1989,FAN,PbPST,1,2
25/07/1989,TEC,PbPST,1.4,2
25/07/1989,CFE,PbPST,1.11,2
31/07/1989,CES,PbPST,0.93,2
31/07/1989,MER,PbPST,1.68,2
31/07/1989,PED,PbPST,0.66,2
31/07/1989,TLA,PbPST,1.7,2
31/07/1989,XAL,PbPST,2.26,2
31/07/1989,MCM,PbPST,1.58,2
31/07/1989,FAN,PbPST,0.84,2
31/07/1989,TEC,PbPST,1.49,2
31/07/1989,CFE,PbPST,0.97,2
06/08/1989,CES,PbPST,0.88,2
06/08/1989,MER,PbPST,1.14,2
06/08/1989,PED,PbPST,0.86,2
06/08/1989,TLA,PbPST,0.96,2
06/08/1989,XAL,PbPST,1.02,2
06/08/1989,MCM,PbPST,1.09,2
06/08/1989,FAN,PbPST,0.92,2
06/08/1989,TEC,PbPST,1.04,2
06/08/1989,CFE,PbPST,0.78,2
12/08/1989,CES,PbPST,1.02,2
12/08/1989,MER,PbPST,1.31,2
12/08/1989,PED,PbPST,0.64,2
12/08/1989,TLA,PbPST,0.97,2
