NIVEL,NOMBRE,TURNO,DOMICILIO,COLONIA,ALCALDÍA,SOSTENIMIENTO,ubicacion,lat,lon,coordenadas
Primaria,COLEGIO ATENEA,MATUTINO,TRIGALES NUM 25,RESIDENCIAL EX-HACIENDA COAPA,TLALPAN,Particular,"TRIGALES NUM 25, RESIDENCIAL EX-HACIENDA COAPA, TLALPAN",19.2985827,-99.1190919,"19.2985827,-99.1190919"
Primaria,ESCUELA CAMPESTRE DE MÉXICO,MATUTINO,DE LA BOLSA No. 456,CONTADERO,CUAJIMALPA DE MORELOS,Particular,"DE LA BOLSA No. 456, CONTADERO, CUAJIMALPA DE MORELOS",19.3437164,-99.3011302,"19.3437164,-99.3011302"
Primaria,LEONARDO DA VINCI,MATUTINO,CERRO ACASULCO No. 46,OXTOPULCO,COYOACAN,Particular,"CERRO ACASULCO No. 46, OXTOPULCO, COYOACAN",19.3427805,-99.1801931,"19.3427805,-99.1801931"
Primaria,CENTRO EDUCATIVO MODERNO,MATUTINO,XOLA 36,ALAMOS,BENITO JUAREZ,Particular,"XOLA 36, ALAMOS, BENITO JUAREZ",19.3951795,-99.1446454,"19.3951795,-99.1446454"
Primaria,COLEGIO LINDAVISTA,MATUTINO,CALLAO NO 654,LINDAVISTA,GUSTAVO A. MADERO,Particular,"CALLAO NO 654, LINDAVISTA, GUSTAVO A. MADERO",19.4866088,-99.1280401,"19.4866088,-99.1280401"
Primaria,"""COLEGIO NUEVA INFANCIA"" SOCIEDAD CIVIL",MATUTINO,RIO SENA 51,CUAUHTEMOC,CUAUHTEMOC,Particular,"RIO SENA 51, CUAUHTEMOC, CUAUHTEMOC",19.4316662,-99.1669857,"19.4316662,-99.1669857"
Primaria,BILINGUE COLIMAN,MATUTINO,CAIRO NO 241,EL RECREO,AZCAPOTZALCO,Particular,"CAIRO NO 241, EL RECREO, AZCAPOTZALCO",19.4728195,-99.1839134,"19.4728195,-99.1839134"
Primaria,NUEVO CONTINENTE,MATUTINO,NICOLAS SAN JUAN NUM 1141,DEL VALLE,BENITO JUAREZ,Particular,"NICOLAS SAN JUAN NUM 1141, DEL VALLE, BENITO JUAREZ",19.3808508,-99.1641324,"19.3808508,-99.1641324"
Primaria,INSTITUTO GRAN UNION,MATUTINO,KRAMER No. 74,ATLANTIDA,COYOACAN,Particular,"KRAMER No. 74, ATLANTIDA, COYOACAN",19.3403788,-99.1458855,"19.3403788,-99.1458855"
Primaria,COLEGIO RAFAEL RAMÍREZ,MATUTINO,JUAN ALVAREZ No. 24,SAN MIGUEL AMPLIACION,IZTAPALAPA,Particular,"JUAN ALVAREZ No. 24, SAN MIGUEL AMPLIACION, IZTAPALAPA",19.3538758,-99.0165644,"19.3538758,-99.0165644"
Primaria,COLEGIO BROOKFIELD AMERICANO A C,MATUTINO,SANTA CECILIA No. 41,RESIDENCIAL CAFETALES,COYOACAN,Particular,"SANTA CECILIA No. 41, RESIDENCIAL CAFETALES, COYOACAN",19.3138466,-99.1077627,"19.3138466,-99.1077627"
Primaria,HEROES MEXICANOS,MATUTINO,ALFONSO CRAVIOTO NO. 9111,CONSTITUCION 1917,IZTAPALAPA,Particular,"ALFONSO CRAVIOTO NO. 9111, CONSTITUCION 1917, IZTAPALAPA",19.346944,-99.0575358,"19.346944,-99.0575358"
Primaria,COLEGIO SACBE,MATUTINO,BOULEVARD CAPRI NO. 70,LOMAS ESTRELLA,IZTAPALAPA,Particular,"BOULEVARD CAPRI NO. 70, LOMAS ESTRELLA, IZTAPALAPA",19.3242049,-99.0936723,"19.3242049,-99.0936723"
Primaria,COLEGIO O'FARRILL SOCIEDAD CIVIL,MATUTINO,HORTENCIA Y ACANTO LOTE 322 MZ 27,MIGUEL HIDALGO AMPLIACION,TLALPAN,Particular,"HORTENCIA Y ACANTO LOTE 322 MZ 27, MIGUEL HIDALGO AMPLIACION, TLALPAN",19.2883799,-99.1653151,"19.2883799,-99.1653151"
Primaria,TOMAS ALVA EDISON,MATUTINO,MANZANAS NUM 11 BARRIO ACTIPAN,DEL VALLE,BENITO JUAREZ,Particular,"MANZANAS NUM 11 BARRIO ACTIPAN, DEL VALLE, BENITO JUAREZ",19.3740248,-99.1780108,"19.3740248,-99.1780108"
Primaria,LA ESCUELA DE LANCASTER,MATUTINO,REY YUPANQUI NO 46,TLALCOLIGIA,TLALPAN,Particular,"REY YUPANQUI NO 46, TLALCOLIGIA, TLALPAN",19.2731844,-99.1702061,"19.2731844,-99.1702061"
Primaria,ALEXANDER FLEMING,MATUTINO,ARENAL NO 29 ESQ INSURGENTES SUR,TLALPAN,TLALPAN,Particular,"ARENAL NO 29 ESQ INSURGENTES SUR, TLALPAN, TLALPAN",19.2850566,-99.1754731,"19.2850566,-99.1754731"
Primaria,COLEGIO CAMPESTRE COYOACAN,MATUTINO,RANCHO SAN MIGUEL No. 4,CAMPESTRE COYOACAN,COYOACAN,Particular,"RANCHO SAN MIGUEL No. 4, CAMPESTRE COYOACAN, COYOACAN",19.3085999,-99.1129974,"19.3085999,-99.1129974"
Primaria,LUCES DEL SABER,MATUTINO,ORIENTE 159 NO 3305,SALVADOR DIAZ MIRON,GUSTAVO A. MADERO,Particular,"ORIENTE 159 NO 3305, SALVADOR DIAZ MIRON, GUSTAVO A. MADERO",19.4897718,-99.1002586,"19.4897718,-99.1002586"
Primaria,EVA SAMANO DE LÓPEZ MATEOS,MATUTINO,VÍA LACTEA No. 120,PRADO CHURUBUSCO,COYOACAN,Particular,"VÍA LACTEA No. 120, PRADO CHURUBUSCO, COYOACAN",19.3541374,-99.1298492,"19.3541374,-99.1298492"
Primaria,COLEGIO S JUAN PABLO II,MATUTINO,CANARIAS No. 912,PORTALES,BENITO JUAREZ,Particular,"CANARIAS No. 912, PORTALES, BENITO JUAREZ",19.3616504,-99.148247,"19.3616504,-99.148247"
Primaria,GIOTTO,MATUTINO,PEDRO NOLASCO NO. 6,CUAUTEPEC BARRIO ALTO,GUSTAVO A. MADERO,Particular,"PEDRO NOLASCO NO. 6, CUAUTEPEC BARRIO ALTO, GUSTAVO A. MADERO",19.557471,-99.1329842,"19.557471,-99.1329842"
Primaria,"""PRIMARIA NEW ISAAC NEWTON""",MATUTINO,ORIENTE 257 Y SUR 20 No. 264 Y 580,AGRICOLA ORIENTAL,IZTACALCO,Particular,"ORIENTE 257 Y SUR 20 No. 264 Y 580, AGRICOLA ORIENTAL, IZTACALCO",19.3905973,-99.0634722,"19.3905973,-99.0634722"
Primaria,DONAJI,MATUTINO,ORIENTE 243 A No. 263,AGRICOLA ORIENTAL,IZTACALCO,Particular,"ORIENTE 243 A No. 263, AGRICOLA ORIENTAL, IZTACALCO",19.3884695,-99.0732894,"19.3884695,-99.0732894"
Primaria,CLAUDINA THEVENET,MATUTINO,SUR 128 NUM 15,COVE,ALVARO OBREGON,Particular,"SUR 128 NUM 15, COVE, ALVARO OBREGON",19.4008056,-99.202441,"19.4008056,-99.202441"
Primaria,JULIO VERNE,MATUTINO,HERIBERTO FRIAS NUMERO 949,DEL VALLE,BENITO JUAREZ,Particular,"HERIBERTO FRIAS NUMERO 949, DEL VALLE, BENITO JUAREZ",19.3843948,-99.1618968,"19.3843948,-99.1618968"
Primaria,ILIN MARSHAK,MATUTINO,JOSE REVUELTAS 280,VILLA DE CORTES,BENITO JUAREZ,Particular,"JOSE REVUELTAS 280, VILLA DE CORTES, BENITO JUAREZ",19.3881459,-99.1335526,"19.3881459,-99.1335526"
Primaria,ELODIA RAMOS CHAVEZ,MATUTINO,ORIENTE 253 No. 39 A,AGRICOLA ORIENTAL,IZTACALCO,Particular,"ORIENTE 253 No. 39 A, AGRICOLA ORIENTAL, IZTACALCO",19.4004365,-99.0643073,"19.4004365,-99.0643073"
Primaria,COLEGIO INGLES MICHAEL FARADAY,MATUTINO,LAGO ZIRAHUEN 46,ANAHUAC I,MIGUEL HIDALGO,Particular,"LAGO ZIRAHUEN 46, ANAHUAC I, MIGUEL HIDALGO",19.447243,-99.1722076,"19.447243,-99.1722076"
Primaria,DOLORES CORREA ZAPATA,MATUTINO,AV AQUILES SERDAN NO 140,SANTIAGO TULYEHUALCO,XOCHIMILCO,Particular,"AV AQUILES SERDAN NO 140, SANTIAGO TULYEHUALCO, XOCHIMILCO",19.2565387,-99.0162976,"19.2565387,-99.0162976"
Primaria,IXTLAMACHILIZTLI,MATUTINO,ANGEL TRIAS NO. 250,JUAN ESCUTIA,IZTAPALAPA,Particular,"ANGEL TRIAS NO. 250, JUAN ESCUTIA, IZTAPALAPA",19.3891498,-99.0342394,"19.3891498,-99.0342394"
Primaria,COLEGIO SKINNER,MATUTINO,AV. RÍO MEZCALAPA NO. 32,PASEOS DE CHURUBUSCO,IZTAPALAPA,Particular,"AV. RÍO MEZCALAPA NO. 32, PASEOS DE CHURUBUSCO, IZTAPALAPA",19.3874752,-99.0876159,"19.3874752,-99.0876159"
Primaria,FELIPE FRANCO,MATUTINO,AV GUADALUPE VICTORIA NO 52,CUAUTEPEC DE MADERO,GUSTAVO A. MADERO,Particular,"AV GUADALUPE VICTORIA NO 52, CUAUTEPEC DE MADERO, GUSTAVO A. MADERO",19.5426004,-99.1384111,"19.5426004,-99.1384111"
Primaria,COLEGIO ST. JOHN'S,MATUTINO,TENORIOS NUM 80,RAMOS MILLAN COAPA,TLALPAN,Particular,"TENORIOS NUM 80, RAMOS MILLAN COAPA, TLALPAN",19.2993797,-99.1201207,"19.2993797,-99.1201207"
Primaria,ELENA JACKSON FISKEHUNT,MATUTINO,TOTONACAS MANZANA 22 LOTE 35,AJUSCO,COYOACAN,Particular,"TOTONACAS MANZANA 22 LOTE 35, AJUSCO, COYOACAN",19.3141802,-99.1666481,"19.3141802,-99.1666481"
Primaria,HANDEL SCHOOL,MATUTINO,SAN FELIPE NUM 72,XOCO,BENITO JUAREZ,Particular,"SAN FELIPE NUM 72, XOCO, BENITO JUAREZ",19.3633304,-99.1642755,"19.3633304,-99.1642755"
Primaria,JERONIMO MARIANO USERA Y ALARCON,MATUTINO,VENUSTIANO CARRANZA NUM 1184,CUAUTEPEC BARRIO ALTO,GUSTAVO A. MADERO,Particular,"VENUSTIANO CARRANZA NUM 1184, CUAUTEPEC BARRIO ALTO, GUSTAVO A. MADERO",19.5457811,-99.1380815,"19.5457811,-99.1380815"
Primaria,HUITZILOPOCHTLI,MATUTINO,NICOLAS TOLENTINO MZ. 25 LT. 27,PRESIDENTES DE MEXICO,IZTAPALAPA,Particular,"NICOLAS TOLENTINO MZ. 25 LT. 27, PRESIDENTES DE MEXICO, IZTAPALAPA",19.3333795,-99.0628,"19.3333795,-99.0628"
